E,R,count,family,fixed_pre_violated_fraction,population,post,pre,row_fraction,split,validator_profile
2056,2056,0,oneOf,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
2056,2056,0,oneOf,,parent_pool,satisfied,unknown,0.0,test,checked_out_bounded
2056,2056,0,oneOf,,parent_pool,violated,unknown,0.0,test,checked_out_bounded
2056,2056,0,oneOf,,parent_pool,unknown,unknown,0.0,test,checked_out_bounded
32868,35917,3023,single,,parent_pool,satisfied,satisfied,0.08416627223877272,test,checked_out_bounded
32868,35917,26,single,,parent_pool,violated,satisfied,0.0007238911935852103,test,checked_out_bounded
32868,35917,0,single,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
32868,35917,19818,single,0.6029572836801752,parent_pool,satisfied,violated,0.5517721413258345,test,checked_out_bounded
32868,35917,13050,single,0.39704271631982474,parent_pool,violated,violated,0.3633376952418075,test,checked_out_bounded
32868,35917,0,single,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
32868,35917,0,single,,parent_pool,satisfied,unknown,0.0,test,checked_out_bounded
32868,35917,0,single,,parent_pool,violated,unknown,0.0,test,checked_out_bounded
32868,35917,0,single,,parent_pool,unknown,unknown,0.0,test,checked_out_bounded
8884,8891,7,symmetric,,parent_pool,satisfied,satisfied,0.0007873130131593746,test,checked_out_bounded
8884,8891,0,symmetric,,parent_pool,violated,satisfied,0.0,test,checked_out_bounded
8884,8891,0,symmetric,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
8884,8891,8884,symmetric,1.0,parent_pool,satisfied,violated,0.9992126869868406,test,checked_out_bounded
8884,8891,0,symmetric,0.0,parent_pool,violated,violated,0.0,test,checked_out_bounded
8884,8891,0,symmetric,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
8884,8891,0,symmetric,,parent_pool,satisfied,unknown,0.0,test,checked_out_bounded
8884,8891,0,symmetric,,parent_pool,violated,unknown,0.0,test,checked_out_bounded
8884,8891,0,symmetric,,parent_pool,unknown,unknown,0.0,test,checked_out_bounded
694,30001,3712,type,,parent_pool,satisfied,satisfied,0.12372920902636579,test,checked_out_bounded
694,30001,0,type,,parent_pool,violated,satisfied,0.0,test,checked_out_bounded
694,30001,0,type,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
694,30001,281,type,0.4048991354466859,parent_pool,satisfied,violated,0.009366354454851506,test,checked_out_bounded
694,30001,413,type,0.5951008645533141,parent_pool,violated,violated,0.013766207793073564,test,checked_out_bounded
694,30001,0,type,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
694,30001,1135,type,,parent_pool,satisfied,unknown,0.03783207226425786,test,checked_out_bounded
694,30001,743,type,,parent_pool,violated,unknown,0.024765841138628713,test,checked_out_bounded
694,30001,23717,type,,parent_pool,unknown,unknown,0.7905403153228225,test,checked_out_bounded
3619,30001,14022,valueRequiresStatement,,parent_pool,satisfied,satisfied,0.467384420519316,test,checked_out_bounded
3619,30001,0,valueRequiresStatement,,parent_pool,violated,satisfied,0.0,test,checked_out_bounded
3619,30001,0,valueRequiresStatement,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
3619,30001,3619,valueRequiresStatement,1.0,parent_pool,satisfied,violated,0.12062931235625479,test,checked_out_bounded
3619,30001,0,valueRequiresStatement,0.0,parent_pool,violated,violated,0.0,test,checked_out_bounded
3619,30001,0,valueRequiresStatement,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
3619,30001,515,valueRequiresStatement,,parent_pool,satisfied,unknown,0.017166094463517884,test,checked_out_bounded
3619,30001,0,valueRequiresStatement,,parent_pool,violated,unknown,0.0,test,checked_out_bounded
3619,30001,11845,valueRequiresStatement,,parent_pool,unknown,unknown,0.3948201726609113,test,checked_out_bounded
8441,30000,2083,valueType,,parent_pool,satisfied,satisfied,0.06943333333333333,test,checked_out_bounded
8441,30000,0,valueType,,parent_pool,violated,satisfied,0.0,test,checked_out_bounded
8441,30000,0,valueType,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
8441,30000,539,valueType,0.06385499348418434,parent_pool,satisfied,violated,0.017966666666666666,test,checked_out_bounded
8441,30000,7902,valueType,0.9361450065158157,parent_pool,violated,violated,0.2634,test,checked_out_bounded
8441,30000,0,valueType,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
8441,30000,162,valueType,,parent_pool,satisfied,unknown,0.0054,test,checked_out_bounded
8441,30000,30,valueType,,parent_pool,violated,unknown,0.001,test,checked_out_bounded
8441,30000,19284,valueType,,parent_pool,unknown,unknown,0.6428,test,checked_out_bounded
138008,140857,1343,conflictWith,,parent_pool,satisfied,satisfied,0.009534492428491307,train,checked_out_bounded
138008,140857,65,conflictWith,,parent_pool,violated,satisfied,0.00046146091426056213,train,checked_out_bounded
138008,140857,0,conflictWith,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
138008,140857,77322,conflictWith,0.56027186829749,parent_pool,satisfied,violated,0.5489397048070028,train,checked_out_bounded
138008,140857,60686,conflictWith,0.43972813170251,parent_pool,violated,violated,0.43083410835102265,train,checked_out_bounded
138008,140857,0,conflictWith,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
138008,140857,0,conflictWith,,parent_pool,satisfied,unknown,0.0,train,checked_out_bounded
138008,140857,0,conflictWith,,parent_pool,violated,unknown,0.0,train,checked_out_bounded
138008,140857,1441,conflictWith,,parent_pool,unknown,unknown,0.010230233499222616,train,checked_out_bounded
319419,319486,35,distinct,,parent_pool,satisfied,satisfied,0.00010955096623952224,train,checked_out_bounded
319419,319486,0,distinct,,parent_pool,violated,satisfied,0.0,train,checked_out_bounded
319419,319486,0,distinct,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
319419,319486,185308,distinct,0.5801408181729953,parent_pool,satisfied,violated,0.5800191557689539,train,checked_out_bounded
319419,319486,134111,distinct,0.41985918182700466,parent_pool,violated,violated,0.4197711323813876,train,checked_out_bounded
319419,319486,0,distinct,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
319419,319486,32,distinct,,parent_pool,satisfied,unknown,0.00010016088341899176,train,checked_out_bounded
319419,319486,0,distinct,,parent_pool,violated,unknown,0.0,train,checked_out_bounded
319419,319486,0,distinct,,parent_pool,unknown,unknown,0.0,train,checked_out_bounded
97918,98225,307,inverse,,parent_pool,satisfied,satisfied,0.003125477220666836,train,checked_out_bounded
97918,98225,0,inverse,,parent_pool,violated,satisfied,0.0,train,checked_out_bounded
97918,98225,0,inverse,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
97918,98225,10729,inverse,0.1095712739230785,parent_pool,satisfied,violated,0.10922881140239246,train,checked_out_bounded
97918,98225,87189,inverse,0.8904287260769215,parent_pool,violated,violated,0.8876457113769407,train,checked_out_bounded
97918,98225,0,inverse,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
97918,98225,0,inverse,,parent_pool,satisfied,unknown,0.0,train,checked_out_bounded
97918,98225,0,inverse,,parent_pool,violated,unknown,0.0,train,checked_out_bounded
97918,98225,0,inverse,,parent_pool,unknown,unknown,0.0,train,checked_out_bounded
12143,140001,24763,itemRequiresStatement,,parent_pool,satisfied,satisfied,0.17687730801922844,train,checked_out_bounded
12143,140001,0,itemRequiresStatement,,parent_pool,violated,satisfied,0.0,train,checked_out_bounded
12143,140001,0,itemRequiresStatement,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
12143,140001,11969,itemRequiresStatement,0.9856707568146257,parent_pool,satisfied,violated,0.08549224648395369,train,checked_out_bounded
12143,140001,174,itemRequiresStatement,0.014329243185374289,parent_pool,violated,violated,0.0012428482653695332,train,checked_out_bounded
12143,140001,0,itemRequiresStatement,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
12143,140001,1675,itemRequiresStatement,,parent_pool,satisfied,unknown,0.01196420025571246,train,checked_out_bounded
12143,140001,0,itemRequiresStatement,,parent_pool,violated,unknown,0.0,train,checked_out_bounded
12143,140001,101420,itemRequiresStatement,,parent_pool,unknown,unknown,0.7244233969757359,train,checked_out_bounded
9596,9596,0,oneOf,,parent_pool,satisfied,satisfied,0.0,train,checked_out_bounded
9596,9596,0,oneOf,,parent_pool,violated,satisfied,0.0,train,checked_out_bounded
9596,9596,0,oneOf,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
9596,9596,9596,oneOf,1.0,parent_pool,satisfied,violated,1.0,train,checked_out_bounded
9596,9596,0,oneOf,0.0,parent_pool,violated,violated,0.0,train,checked_out_bounded
9596,9596,0,oneOf,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
9596,9596,0,oneOf,,parent_pool,satisfied,unknown,0.0,train,checked_out_bounded
9596,9596,0,oneOf,,parent_pool,violated,unknown,0.0,train,checked_out_bounded
9596,9596,0,oneOf,,parent_pool,unknown,unknown,0.0,train,checked_out_bounded
153633,167612,13838,single,,parent_pool,satisfied,satisfied,0.08255972126100757,train,checked_out_bounded
153633,167612,141,single,,parent_pool,violated,satisfied,0.0008412285516550128,train,checked_out_bounded
153633,167612,0,single,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
153633,167612,92445,single,0.6017261916385152,parent_pool,satisfied,violated,0.5515416557287067,train,checked_out_bounded
153633,167612,61188,single,0.39827380836148485,parent_pool,violated,violated,0.36505739445863067,train,checked_out_bounded
153633,167612,0,single,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
153633,167612,0,single,,parent_pool,satisfied,unknown,0.0,train,checked_out_bounded
153633,167612,0,single,,parent_pool,violated,unknown,0.0,train,checked_out_bounded
153633,167612,0,single,,parent_pool,unknown,unknown,0.0,train,checked_out_bounded
41745,41776,31,symmetric,,parent_pool,satisfied,satisfied,0.000742052853312907,train,checked_out_bounded
41745,41776,0,symmetric,,parent_pool,violated,satisfied,0.0,train,checked_out_bounded
41745,41776,0,symmetric,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
41745,41776,41745,symmetric,1.0,parent_pool,satisfied,violated,0.9992579471466871,train,checked_out_bounded
41745,41776,0,symmetric,0.0,parent_pool,violated,violated,0.0,train,checked_out_bounded
41745,41776,0,symmetric,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
41745,41776,0,symmetric,,parent_pool,satisfied,unknown,0.0,train,checked_out_bounded
41745,41776,0,symmetric,,parent_pool,violated,unknown,0.0,train,checked_out_bounded
41745,41776,0,symmetric,,parent_pool,unknown,unknown,0.0,train,checked_out_bounded
3116,140001,17278,type,,parent_pool,satisfied,satisfied,0.12341340418997007,train,checked_out_bounded
3116,140001,0,type,,parent_pool,violated,satisfied,0.0,train,checked_out_bounded
3116,140001,0,type,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
3116,140001,1261,type,0.4046854942233633,parent_pool,satisfied,violated,0.009007078520867708,train,checked_out_bounded
3116,140001,1855,type,0.5953145057766367,parent_pool,violated,violated,0.013249905357818873,train,checked_out_bounded
3116,140001,0,type,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
3116,140001,5390,type,,parent_pool,satisfied,unknown,0.038499725001964274,train,checked_out_bounded
3116,140001,3347,type,,parent_pool,violated,unknown,0.023906972093056478,train,checked_out_bounded
3116,140001,110870,type,,parent_pool,unknown,unknown,0.7919229148363226,train,checked_out_bounded
17025,140000,64848,valueRequiresStatement,,parent_pool,satisfied,satisfied,0.4632,train,checked_out_bounded
17025,140000,0,valueRequiresStatement,,parent_pool,violated,satisfied,0.0,train,checked_out_bounded
