addition_only,base_preserved,base_removed,deletion_only,distinct_definitions,distinct_semantic_terms_max,distinct_semantic_terms_mean,distinct_semantic_terms_median,distinct_semantic_terms_p95,distinct_semantic_terms_sum,edges_max,edges_mean,edges_median,edges_p95,edges_sum,family,input_profile,loss_from_R,nodes_max,nodes_mean,nodes_median,nodes_p95,nodes_sum,noop,paired,population,pre_triples_max,pre_triples_mean,pre_triples_median,pre_triples_p95,pre_triples_sum,primary_post_satisfied,primary_post_unknown,primary_post_violated,primary_pre_satisfied,primary_pre_unknown,primary_pre_violated,records,retention_from_R,same_subject_property_replacement,split,subset,unknown_feature_nodes_max,unknown_feature_nodes_mean,unknown_feature_nodes_median,unknown_feature_nodes_p95,unknown_feature_nodes_sum,unresolved_operations,validator_profile,vocabulary_profile
103,155,48,52,37,364,34.881773399014776,28.0,69.0,7081,656,49.21182266009852,40.0,92.0,9990,overall,passive,143107,632,48.389162561576356,37.0,91.0,9823,0,48,existing_sample,328,21.113300492610836,16.0,43.0,4286,203,0,0,0,0,203,203,0.0014165096643639662,47,val,F_and_B_minus_A,62,13.458128078817735,10.0,33.0,2732,0,checked_out_bounded,clean_parent_train_minocc100
0,0,0,0,0,,,,,0,,,,,0,conflictWith,passive,100612,,,,,0,0,0,existing_sample,,,,,0,0,0,0,0,0,0,0,0.0,0,overall,F_and_B_minus_A,,,,,0,0,checked_out_bounded,clean_parent_train_minocc100
0,0,5,0,4,2116,864.4,52.0,2116.0,4322,4218,1714.8,72.0,4218.0,8574,distinct,passive,228203,4216,1711.6,68.0,4216.0,8558,0,5,existing_sample,32,18.6,14.0,32.0,93,5,0,0,0,0,5,5,2.190983664025801e-05,5,overall,F_and_B_minus_A,24,12.0,10.0,24.0,60,0,checked_out_bounded,clean_parent_train_minocc100
0,0,151,0,19,200,50.58278145695364,45.0,109.0,7638,372,72.87417218543047,60.0,166.0,11004,inverse,passive,70210,373,72.35099337748345,59.0,167.0,10925,0,151,existing_sample,185,35.397350993377486,29.0,82.0,5345,151,0,0,0,0,151,151,0.0021460752405451883,151,overall,F_and_B_minus_A,181,28.67549668874172,23.0,71.0,4330,0,checked_out_bounded,clean_parent_train_minocc100
185,185,0,0,15,187,32.4,29.0,55.0,5994,288,49.48108108108108,46.0,82.0,9154,itemRequiresStatement,passive,99814,286,46.28108108108108,42.0,78.0,8562,0,0,existing_sample,143,23.405405405405407,22.0,40.0,4330,185,0,0,0,0,185,185,0.0018500185001850019,0,overall,F_and_B_minus_A,130,14.124324324324323,12.0,26.0,2613,0,checked_out_bounded,clean_parent_train_minocc100
0,0,13,0,10,128,80.07692307692308,73.0,125.0,1041,220,127.84615384615384,94.0,210.0,1662,oneOf,passive,6842,220,127.84615384615384,94.0,210.0,1662,0,13,existing_sample,51,21.846153846153847,23.0,31.0,284,13,0,0,0,0,13,13,0.0018964259664478484,13,overall,F_and_B_minus_A,39,14.307692307692308,13.0,22.0,186,0,checked_out_bounded,clean_parent_train_minocc100
0,322,2,321,5,196,42.01543209876543,38.0,68.0,13613,306,55.30246913580247,50.0,96.0,17918,single,passive,119399,290,55.9320987654321,50.0,97.0,18122,0,3,existing_sample,149,23.796296296296298,21.0,44.0,7710,324,0,0,0,0,324,324,0.002706246919973606,0,overall,F_and_B_minus_A,114,18.358024691358025,16.0,36.0,5948,1,checked_out_bounded,clean_parent_train_minocc100
0,0,46,0,11,364,51.43478260869565,39.0,92.0,2366,656,76.26086956521739,57.0,132.0,3508,symmetric,passive,29596,632,73.34782608695652,53.5,128.0,3374,0,46,existing_sample,328,38.108695652173914,28.5,66.0,1753,46,0,0,0,0,46,46,0.0015518521017475204,46,overall,F_and_B_minus_A,78,20.76086956521739,17.0,44.0,955,0,checked_out_bounded,clean_parent_train_minocc100
0,0,0,0,0,,,,,0,,,,,0,type,passive,100003,,,,,0,0,0,existing_sample,,,,,0,0,0,0,0,0,0,0,0.0,0,overall,F_and_B_minus_A,,,,,0,0,checked_out_bounded,clean_parent_train_minocc100
592,592,12,0,5,181,20.516556291390728,17.0,33.0,12392,210,27.8476821192053,26.0,44.0,16820,valueRequiresStatement,passive,99398,207,26.923841059602648,24.0,41.0,16262,0,12,existing_sample,104,11.955298013245033,11.0,20.0,7221,604,0,0,0,0,604,604,0.006039879202415952,12,overall,F_and_B_minus_A,80,7.208609271523179,6.0,12.0,4354,0,checked_out_bounded,clean_parent_train_minocc100
