A,A_over_R,F,F_and_A,F_and_A_over_F,F_not_A,R,family,population,source_records,split,vocabulary
33240,0.9710780017528484,34086,33097,0.9709851551956815,989,34230,distinct,previously_discarded,34230,test,V0_clean_parent_train_minocc100
10319,0.9805207145572026,9388,9387,0.999893481039625,1,10524,inverse,previously_discarded,10524,test,V0_clean_parent_train_minocc100
8162,0.5441696113074205,12490,7336,0.5873498799039232,5154,14999,itemRequiresStatement,previously_discarded,14999,test,V0_clean_parent_train_minocc100
1001,0.9737354085603113,227,214,0.9427312775330396,13,1028,oneOf,previously_discarded,1028,test,V0_clean_parent_train_minocc100
128276,0.895132027019483,99453,91736,0.9224055584044725,7717,143304,overall,previously_discarded,143304,test,V0_clean_parent_train_minocc100
15660,0.8719861907678601,7910,7905,0.9993678887484198,5,17959,single,previously_discarded,17959,test,V0_clean_parent_train_minocc100
4415,0.9865921787709497,1526,1526,1.0,0,4475,symmetric,previously_discarded,4475,test,V0_clean_parent_train_minocc100
14296,0.9531302086805787,9654,9629,0.9974103998342656,25,14999,type,previously_discarded,14999,test,V0_clean_parent_train_minocc100
12537,0.8359114548606481,6793,5317,0.7827175033122332,1476,14998,valueRequiresStatement,previously_discarded,14998,test,V0_clean_parent_train_minocc100
14402,0.9600693287114193,5735,5728,0.9987794245858762,7,15001,valueType,previously_discarded,15001,test,V0_clean_parent_train_minocc100
66255,0.9407212835439444,53771,53546,0.9958155883282811,225,70430,conflictWith,previously_discarded,70430,train,V0_clean_parent_train_minocc100
155152,0.971260086513963,159043,154462,0.9711964688794854,4581,159743,distinct,previously_discarded,159743,train,V0_clean_parent_train_minocc100
47896,0.9781081522627022,43521,43521,1.0,0,48968,inverse,previously_discarded,48968,train,V0_clean_parent_train_minocc100
38585,0.5512142857142858,58148,34537,0.5939499208915182,23611,70000,itemRequiresStatement,previously_discarded,70000,train,V0_clean_parent_train_minocc100
4767,0.9935389745727387,1011,1011,1.0,0,4798,oneOf,previously_discarded,4798,train,V0_clean_parent_train_minocc100
598814,0.8953879923920715,462878,427237,0.9230013092002645,35641,668776,overall,previously_discarded,668776,train,V0_clean_parent_train_minocc100
73185,0.8732772507606945,36853,36852,0.9999728651670149,1,83805,single,previously_discarded,83805,train,V0_clean_parent_train_minocc100
20700,0.9842613285150492,7330,7330,1.0,0,21031,symmetric,previously_discarded,21031,train,V0_clean_parent_train_minocc100
66698,0.9528149597862887,44948,44850,0.9978197027676426,98,70001,type,previously_discarded,70001,train,V0_clean_parent_train_minocc100
58340,0.8334285714285714,32046,24944,0.7783810772015228,7102,70000,valueRequiresStatement,previously_discarded,70000,train,V0_clean_parent_train_minocc100
67236,0.9605142857142858,26207,26184,0.9991223718853741,23,70000,valueType,previously_discarded,70000,train,V0_clean_parent_train_minocc100
14173,0.9391068115557911,11477,11411,0.994249368301821,66,15092,conflictWith,previously_discarded,15092,val,V0_clean_parent_train_minocc100
33200,0.9699661096178567,34062,33036,0.9698784569314779,1026,34228,distinct,previously_discarded,34228,val,V0_clean_parent_train_minocc100
10280,0.979420731707317,9320,9320,1.0,0,10496,inverse,previously_discarded,10496,val,V0_clean_parent_train_minocc100
8153,0.5434608718837488,12503,7324,0.5857794129408942,5179,15002,itemRequiresStatement,previously_discarded,15002,val,V0_clean_parent_train_minocc100
1014,0.9863813229571985,214,206,0.9626168224299065,8,1028,oneOf,previously_discarded,1028,val,V0_clean_parent_train_minocc100
128095,0.8938377910668556,99203,91388,0.9212221404594619,7815,143309,overall,previously_discarded,143309,val,V0_clean_parent_train_minocc100
15603,0.8688122946711955,7905,7900,0.9993674889310563,5,17959,single,previously_discarded,17959,val,V0_clean_parent_train_minocc100
4434,0.9844582593250444,1537,1537,1.0,0,4504,symmetric,previously_discarded,4504,val,V0_clean_parent_train_minocc100
14319,0.9546636442429496,9645,9625,0.997926386728875,20,14999,type,previously_discarded,14999,val,V0_clean_parent_train_minocc100
12519,0.834544363709086,6935,5430,0.7829848594087959,1505,15001,valueRequiresStatement,previously_discarded,15001,val,V0_clean_parent_train_minocc100
14400,0.96,5605,5599,0.9989295272078501,6,15000,valueType,previously_discarded,15000,val,V0_clean_parent_train_minocc100
93950,0.9337852343656821,76783,76428,0.9953765807535522,355,100612,conflictWith,existing_sample,100612,overall,V1_verified_train_minocc100
221609,0.9710833976021874,227209,220620,0.9710002684752804,6589,228208,distinct,existing_sample,228208,overall,V1_verified_train_minocc100
68826,0.9781839371242592,62558,62554,0.9999360593369353,4,70361,inverse,existing_sample,70361,overall,V1_verified_train_minocc100
53944,0.5394453944539446,83238,49365,0.5930584588769552,33873,99999,itemRequiresStatement,existing_sample,99999,overall,V1_verified_train_minocc100
