bucket,cohort,denominator,denominator_kind,metric,section,share,slot,split,value
>=100,F,378298,,subject,heldout_role_reference_support_detail,,del_subject,val,81619
>=100,F_and_A_V1,378298,,subject,heldout_role_reference_support_detail,,del_subject,val,80915
>=100,F,443749,,predicate,heldout_role_reference_support_detail,,del_predicate,val,97226
>=100,F_and_A_V1,443749,,predicate,heldout_role_reference_support_detail,,del_predicate,val,95204
>=100,F,403567,,object,heldout_role_reference_support_detail,,del_object,val,88610
>=100,F_and_A_V1,403567,,object,heldout_role_reference_support_detail,,del_object,val,86589
>=100,F,61167,,other_predicate,heldout_role_reference_support_detail,,del_predicate,val,13169
>=100,F_and_A_V1,61167,,other_predicate,heldout_role_reference_support_detail,,del_predicate,val,13050
>=100,F,101126,,other_object,heldout_role_reference_support_detail,,del_object,val,21733
>=100,F_and_A_V1,101126,,other_object,heldout_role_reference_support_detail,,del_object,val,21613
>=100,F,184845,,subject,heldout_role_reference_support_detail,,add_subject,val,50410
>=100,F_and_A_V1,184845,,subject,heldout_role_reference_support_detail,,add_subject,val,39330
>=100,F,8064,,other_predicate,heldout_role_reference_support_detail,,add_predicate,val,1756
>=100,F_and_A_V1,8064,,other_predicate,heldout_role_reference_support_detail,,add_predicate,val,1638
>=100,F,14636,,object,heldout_role_reference_support_detail,,add_object,val,3209
>=100,F_and_A_V1,14636,,object,heldout_role_reference_support_detail,,add_object,val,3191
>=100,F,8064,,other_predicate,heldout_role_reference_support_detail,,add_predicate,test,1777
>=100,F_and_A_V1,8064,,other_predicate,heldout_role_reference_support_detail,,add_predicate,test,1670
>=100,F,1776,,other_object,heldout_role_reference_support_detail,,add_object,test,407
>=100,F_and_A_V1,1776,,other_object,heldout_role_reference_support_detail,,add_object,test,401
>=100,F,1776,,other_object,heldout_role_reference_support_detail,,add_object,val,382
>=100,F_and_A_V1,1776,,other_object,heldout_role_reference_support_detail,,add_object,val,380
>=100,F,226,,subject,heldout_role_reference_support_detail,,del_object,val,52
>=100,F_and_A_V1,226,,subject,heldout_role_reference_support_detail,,del_object,val,52
>=100,F,226,,subject,heldout_role_reference_support_detail,,del_object,test,57
>=100,F_and_A_V1,226,,subject,heldout_role_reference_support_detail,,del_object,test,57
>=100,F,24038,,predicate,heldout_role_reference_support_detail,,add_predicate,val,7696
>=100,F_and_A_V1,24038,,predicate,heldout_role_reference_support_detail,,add_predicate,val,5108
>=100,F,24038,,predicate,heldout_role_reference_support_detail,,add_predicate,test,7703
>=100,F_and_A_V1,24038,,predicate,heldout_role_reference_support_detail,,add_predicate,test,5125
>=100,F,93825,,subject,heldout_role_reference_support_detail,,add_object,val,20143
>=100,F_and_A_V1,93825,,subject,heldout_role_reference_support_detail,,add_object,val,20143
>=100,F,126621,,other_subject,heldout_role_reference_support_detail,,del_subject,val,28776
>=100,F_and_A_V1,126621,,other_subject,heldout_role_reference_support_detail,,del_subject,val,27339
>=100,F,126621,,other_subject,heldout_role_reference_support_detail,,del_subject,test,28670
>=100,F_and_A_V1,126621,,other_subject,heldout_role_reference_support_detail,,del_subject,test,27188
>=100,F,1005,,other_subject,heldout_role_reference_support_detail,,add_subject,val,1641
